gene	log2FC	pvalue	padjs
Gx57556	-0.002	0.97	0.97
Gx21049	-0.027	0.66	0.66
Gx95845	0.452	0.204	0.204
Gx44058	0.036	0.663	0.663
Gx47563	-0.367	0.64	0.64
Gx94810	-0.018	0.756	0.756
Gx56107	-0.066	0.212	0.212
Gx77757	-0.22	0.142	0.142
Gx91797	0.016	0.784	0.784
Gx59943	-0.003	0.952	0.952
Gx91172	-0.109	0.576	0.576
Gx95885	0.017	0.913	0.913
Gx48314	0.032	0.541	0.541
Gx75429	-0.059	0.269	0.269
Gx94966	0.374	0.107	0.107
Gx20426	0.002	0.971	0.971
Gx20122	-0.078	0.864	0.864
Gx25935	-0.033	0.875	0.875
Gx53608	0.566	0.0124	0.0124
Gx66830	0.071	0.231	0.231
Gx14192	-0.042	0.696	0.696
Gx79143	-0.268	0.141	0.141
Gx43619	0.381	0.00302	0.00302
Gx60929	0.076	0.595	0.595
Gx80675	0.06	0.655	0.655
Gx92624	0.102	0.296	0.296
Gx69254	0.052	0.63	0.63
Gx76560	0.016	0.886	0.886
Gx45570	-0.807	0.101	0.101
Gx72905	-0.059	0.808	0.808
Gx54592	-0.022	0.868	0.868
Gx27881	-0.101	0.266	0.266
Gx71802	-0.085	0.319	0.319
Gx64080	-0.011	0.809	0.809
Gx21831	0.011	0.971	0.971
Gx34809	-0.177	0.66	0.66
Gx10342	0.025	0.592	0.592
Gx82869	-0.015	0.758	0.758
Gx65070	0.11	0.145	0.145
Gx23737	0.333	0.00101	0.00101
Gx91845	-0.149	0.61	0.61
Gx14864	-0.15	0.458	0.458
Gx87351	-0.426	0.0949	0.0949
Gx67593	-0.201	0.167	0.167
Halen3	-0.367	0.000519	0.000519
Gx18297	-0.416	0.0188	0.0188
Gx83845	0.333	0.0818	0.0818
Gx91830	-0.78	0.00854	0.00854
Gx14402	0.032	0.538	0.538
Gx66924	0.036	0.478	0.478
Gx78936	0.111	0.138	0.138
Gx62829	-0.213	0.506	0.506
Gx81584	-0.023	0.657	0.657
Gx37063	-0.082	0.364	0.364
Gx80526	0.017	0.776	0.776
Gx38983	-0.011	0.816	0.816
Gx76259	-0.083	0.799	0.799
Gx76858	-0.076	0.15	0.15
Gx29915	0.019	0.754	0.754
Gx87458	0.085	0.486	0.486
Gx30218	0.541	0.0206	0.0206
Gx60792	0.11	0.193	0.193
Gx40436	0.017	0.714	0.714
Gx78917	0.059	0.538	0.538
Gx55810	0.007	0.897	0.897
Gx78943	-0.043	0.414	0.414
Gx48020	0.26	0.356	0.356
Gx17494	-0.108	0.33	0.33
Gx60272	-0.244	0.441	0.441
Gx92606	-0.263	0.202	0.202
Gx86035	-0.071	0.178	0.178
Gx56260	0.075	0.61	0.61
Gx52618	-0.166	0.0904	0.0904
Gx42861	0.043	0.738	0.738
Gx39188	-0.081	0.162	0.162
Gx36031	0.394	0.0747	0.0747
Gx68156	-0.288	0.00833	0.00833
Gx42938	0.16	0.147	0.147
Gx13410	-0.042	0.44	0.44
Gx81504	-0.03	0.689	0.689
Gx28024	0.053	0.395	0.395
Gx86889	0	0.996	0.996
Gx44906	0.138	0.0954	0.0954
Gx34047	0.143	0.247	0.247
Gx47292	0.105	0.221	0.221
Gx42010	0.013	0.804	0.804
Gx21934	0.029	0.55	0.55
Gx83247	-0.305	0.0236	0.0236
Gx58141	0.122	0.188	0.188
Gx45708	0.133	0.0912	0.0912
Gx35790	0.048	0.377	0.377
Gx84420	0.098	0.0984	0.0984
Gx71395	-0.057	0.414	0.414
Gx90091	-0.225	0.451	0.451
Gx35462	0	1	1
Gx20724	-0.005	0.928	0.928
Gx56698	0.14	0.285	0.285
Gx86766	-0.42	0.119	0.119
Gx36647	0.151	0.459	0.459
Gx71895	-0.238	0.311	0.311
Gx60059	-0.284	0.103	0.103
Gx74363	0.013	0.863	0.863
Gx68747	0.074	0.247	0.247
Gx26287	-0.006	0.911	0.911
Gx88352	-0.081	0.906	0.906
Gx19003	0.035	0.614	0.614
Gx19279	-0.172	0.101	0.101
Gx73000	-0.027	0.717	0.717
Gx74649	-0.137	0.158	0.158
Gx43111	-0.064	0.279	0.279
Gx45161	0.07	0.795	0.795
Gx49577	-0.011	0.886	0.886
Gx74210	0.19	0.228	0.228
Gavon1	0.014	0.86	0.86
Gavon2	0.159	0.0146	0.0146
Gx54916	-0.214	0.137	0.137
Gx10640	0.056	0.277	0.277
Gx37720	0.11	0.477	0.477
Gx31235	-0.13	0.414	0.414
Gx22115	-0.278	0.0424	0.0424
Gx10918	0.038	0.567	0.567
Gx89858	-0.003	0.954	0.954
Gx78179	-0.26	0.704	0.704
Gx84018	0.011	0.809	0.809
Gx69369	0.176	0.0531	0.0531
Gx92596	0.071	0.423	0.423
Gx97388	-0.036	0.538	0.538
Gx24990	0.045	0.546	0.546
Gx45883	-0.022	0.898	0.898
Gx38633	0.136	0.669	0.669
Gx16160	0.38	0.169	0.169
Gx61917	-0.212	0.0436	0.0436
Gx75955	0.019	0.735	0.735
Gx46670	0.028	0.653	0.653
Gx60094	-0.131	0.0888	0.0888
Gx72716	-0.034	0.811	0.811
Gx12242	-0.14	0.538	0.538
Gx65548	0.04	0.403	0.403
Gx31243	-0.176	0.351	0.351
Gx72012	-0.038	0.525	0.525
Gx35375	0.06	0.463	0.463
Gx66514	0.033	0.603	0.603
Gx37455	-0.102	0.323	0.323
Gx75959	0.332	0.105	0.105
Gx51201	-0.138	0.452	0.452
Gx71131	0.072	0.575	0.575
Gx12119	-0.009	0.908	0.908
Gx42953	0.041	0.667	0.667
Gx91970	0.003	0.967	0.967
Gx43447	-0.112	0.267	0.267
Gx87005	-0.447	0.0313	0.0313
Gx25714	0.052	0.276	0.276
Gx80551	-0.049	0.756	0.756
Gx31344	-0.131	0.179	0.179
Gx64269	-0.056	0.417	0.417
Gx97733	-0.064	0.242	0.242
Gx74762	0.076	0.304	0.304
Gx39286	0.015	0.826	0.826
Gx37829	-0.003	0.942	0.942
Gx21965	0.074	0.172	0.172
Gx58284	0.137	0.105	0.105
Gx20251	0.064	0.432	0.432
Gx76738	-0.08	0.116	0.116
Gx63275	-0.117	0.537	0.537
Gx43795	0.051	0.886	0.886
Gx79765	0.055	0.385	0.385
Gx42303	-0.008	0.942	0.942
Gx68716	0.495	0.025	0.025
Gx13988	-0.043	0.447	0.447
Gx27997	-0.08	0.532	0.532
Gx36989	0.051	0.424	0.424
Gx22616	0.125	0.237	0.237
Gx47583	-0.123	0.104	0.104
Gx40564	-0.067	0.545	0.545
Gx14178	0.117	0.372	0.372
Gx46235	-0.032	0.807	0.807
Gx83031	0.001	0.998	0.998
Gx47882	0.064	0.246	0.246
Gx34984	-0.035	0.71	0.71
Gx91884	0.038	0.578	0.578
Gx57806	-0.073	0.18	0.18
Gx46777	-0.086	0.325	0.325
Gx13226	0.036	0.7	0.7
Gx31337	0.15	0.254	0.254
Gx46490	-0.16	0.0554	0.0554
Gx87916	-0.954	0.0529	0.0529
Gx24478	-0.416	0.0615	0.0615
Gx98036	-0.082	0.8	0.8
Gx82391	-0.125	0.64	0.64
Gx84970	0.032	0.936	0.936
Gx74902	-0.292	0.307	0.307
Gx80935	0.166	0.113	0.113
Gx55088	-0.038	0.551	0.551
Gx54135	0.458	0.145	0.145
Gx63168	-0.185	0.0438	0.0438
Gx57550	-0.406	0.0506	0.0506
Gx16615	-0.022	0.833	0.833
Gx77703	-0.039	0.422	0.422
Gx66855	-0.078	0.14	0.14
Gx82273	0.195	0.314	0.314
Gx25969	-0.302	0.156	0.156
Gx28257	-0.007	0.918	0.918
Gx87223	0.26	0.089	0.089
Gx64795	-0.237	0.185	0.185
Gx27811	0.279	0.56	0.56
Gx99553	0.043	0.671	0.671
Gx63656	-0.524	0.00698	0.00698
Gx88744	-0.031	0.786	0.786
Gx74631	0.02	0.849	0.849
Gx89576	-0.074	0.602	0.602
Gx13114	0.125	0.113	0.113
Gx25785	-0.205	0.264	0.264
Gx67781	-0.052	0.322	0.322
Gx30702	0.034	0.79	0.79
Gx84437	0.115	0.722	0.722
Gx29789	-0.054	0.315	0.315
Gx66278	0.002	0.994	0.994
Gx78413	-0.06	0.38	0.38
Gx26518	0.037	0.85	0.85
Gx70262	0.166	0.613	0.613
Gx40449	0.053	0.41	0.41
Gx76166	0.028	0.581	0.581
Gx71636	-0.067	0.335	0.335
Gx26141	0.022	0.67	0.67
Gx48450	-0.355	0.084	0.084
Gx82371	-0.257	0.127	0.127
Gx18687	0.153	0.0748	0.0748
Gx86328	-0.074	0.669	0.669
Gx70329	0.134	0.381	0.381
Gx30770	0.561	0.183	0.183
Gx14770	0.038	0.639	0.639
Gx41747	-0.018	0.932	0.932
Gx16209	0.506	0.389	0.389
Gx99198	-0.07	0.377	0.377
Gx15825	0.131	0.67	0.67
Gx80183	0.085	0.524	0.524
Gx24788	-0.058	0.261	0.261
Gx32428	0.143	0.246	0.246
Gx68243	-0.133	0.333	0.333
Gx25696	-0.002	0.974	0.974
Gx76394	0.184	0.487	0.487
Gx25097	-0.018	0.851	0.851
Gx45352	-0.027	0.597	0.597
Gx65191	0.336	0.0172	0.0172
Gx23819	0	0.999	0.999
Gx23084	-0.139	0.0357	0.0357
Gx58696	0.004	0.945	0.945
Gx24374	-0.129	0.053	0.053
Gx99017	-0.04	0.569	0.569
Gx86072	-0.027	0.712	0.712
Gx62437	0.511	0.0145	0.0145
Gx61701	-0.275	0.103	0.103
Gx74717	0.033	0.681	0.681
Gx63853	0.057	0.489	0.489
Gx49151	0.028	0.681	0.681
Gx52748	-0.156	0.236	0.236
Gx76511	0.199	0.359	0.359
Kavo2	-0.938	0.000586	0.000586
Gx20254	-0.025	0.671	0.671
Gx18130	-0.098	0.0838	0.0838
Gx97420	0.034	0.747	0.747
Gx68545	0.071	0.704	0.704
Gx27410	-0.004	0.937	0.937
Gx45940	-0.004	0.945	0.945
Gx91564	-0.163	0.619	0.619
Gx96903	0.163	0.5	0.5
Gx68406	-0.193	0.239	0.239
Gx61077	-0.363	0.0839	0.0839
Gx25003	0.157	0.322	0.322
Gx31999	-0.034	0.556	0.556
Gx36961	0.085	0.14	0.14
Gx59236	-0.21	0.0724	0.0724
Gx31910	-0.005	0.924	0.924
Gx22020	0.054	0.272	0.272
Gx91851	0.01	0.818	0.818
Gx99636	0.152	0.0836	0.0836
Gx61354	0.064	0.626	0.626
Gx28057	0.076	0.309	0.309
Gx51948	-0.127	0.619	0.619
Gx93575	-0.161	0.292	0.292
Gx35137	-0.552	0.0065	0.0065
Gx78654	0	0.995	0.995
Gx82526	-0.138	0.434	0.434
Gx63339	-0.047	0.66	0.66
Gx39115	-0.017	0.731	0.731
Gx81368	0.04	0.743	0.743
Gx60756	-0.06	0.336	0.336
Gx33985	-0.053	0.311	0.311
Gx52817	0.06	0.264	0.264
Gx54464	-0.326	0.183	0.183
Cirob2	-0.515	0.00059	0.00059
Gx39858	0.067	0.24	0.24
Gx86740	-0.15	0.206	0.206
Gx65505	0.041	0.393	0.393
Gx64608	0.066	0.495	0.495
Gx77499	-0.063	0.339	0.339
Gx45791	-0.171	0.291	0.291
Gx11433	-0.095	0.331	0.331
Gx34859	-0.1	0.638	0.638
Gx58484	0.044	0.358	0.358
Gx16482	0.26	0.086	0.086
Gx85947	0.049	0.62	0.62
Gx36458	0.017	0.842	0.842
Gx27087	-0.203	0.0621	0.0621
Gx14668	-0.136	0.481	0.481
Gx98986	0.003	0.959	0.959
Gx25666	-0.112	0.21	0.21
Gx89388	-0.05	0.774	0.774
Gx53939	-0.007	0.921	0.921
Gx72961	0.027	0.623	0.623
Gx85049	-0.096	0.246	0.246
Gx80023	-0.105	0.213	0.213
Gx90433	-0.253	0.0339	0.0339
Gx92437	-0.459	0.115	0.115
Gx44889	0.1	0.156	0.156
Gx51264	0.204	0.0553	0.0553
Gx40679	-0.002	0.988	0.988
Gx66624	0.144	0.311	0.311
Gx13231	0.319	0.0476	0.0476
Gx66370	0.045	0.642	0.642
Gx40744	-0.032	0.577	0.577
Gx63450	-0.002	0.966	0.966
Gx80911	-0.033	0.618	0.618
Gx90305	0.034	0.49	0.49
Gx66189	-0.129	0.716	0.716
Gx99923	-0.017	0.775	0.775
Gx53035	0.637	0.12	0.12
Gx76570	0.407	0.38	0.38
Gx23345	-0.078	0.549	0.549
Gx78980	-0.441	0.0358	0.0358
Gx50141	0.067	0.23	0.23
Gx50906	0.756	0.00938	0.00938
Gx10550	-0.012	0.872	0.872
Gx42439	0.232	0.406	0.406
Gx40991	0.008	0.936	0.936
Gx62128	-0.119	0.0579	0.0579
Gx43119	0.374	0.435	0.435
Gx38614	-0.172	0.0111	0.0111
Gx68324	0	1	1
Gx25098	0.053	0.816	0.816
Gx65657	-0.022	0.766	0.766
Gx96589	0.248	0.0581	0.0581
Gx10273	-0.197	0.389	0.389
Gx74785	0.068	0.506	0.506
Gx22478	-0.631	0.149	0.149
Gx36034	-0.217	0.182	0.182
Gx96672	0.038	0.597	0.597
Gx85648	0.082	0.329	0.329
Gx52165	0.076	0.763	0.763
Gx66895	-0.258	0.0543	0.0543
Gx74035	-0.048	0.662	0.662
Gx21873	-0.164	0.113	0.113
Gx35335	-0.094	0.688	0.688
Gx88978	-0.33	0.0149	0.0149
Gx97402	-0.323	0.391	0.391
Gx73712	0.029	0.564	0.564
Gx86569	0.026	0.668	0.668
Gx48957	-0.359	0.126	0.126
Gx56657	-0.016	0.865	0.865
Gx74799	0.176	0.11	0.11
Gx24351	-0.058	0.399	0.399
Sorin	0.468	0.0205	0.0205
Gx78625	0.062	0.227	0.227
Gx58853	0.276	0.00283	0.00283
Gx52673	-0.097	0.572	0.572
Gx52358	0.069	0.766	0.766
Gx80698	0.043	0.654	0.654
Gx87230	-0.032	0.592	0.592
Gx28128	0.011	0.809	0.809
Gx77742	-0.003	0.942	0.942
Gx86396	0.013	0.826	0.826
Gx13856	0.032	0.531	0.531
Gx23869	-0.219	0.0998	0.0998
Gx74957	-0.316	0.0435	0.0435
Gx71199	-0.159	0.039	0.039
Gx78022	-0.012	0.814	0.814
Gx60198	-0.202	0.11	0.11
Gx45778	0.02	0.701	0.701
Gx34312	-0.422	0.0321	0.0321
Gx61195	0.019	0.956	0.956
Gx72290	0.121	0.267	0.267
Gx24392	-0.021	0.74	0.74
Gx45709	-0.009	0.906	0.906
Gx29109	-0.008	0.901	0.901
Gx58357	0.014	0.808	0.808
Gx46530	-0.101	0.541	0.541
Gx81266	-0.033	0.595	0.595
Gx56111	-0.013	0.822	0.822
Gx92883	-0.186	0.061	0.061
Gx29898	0.251	0.1	0.1
Gx54352	0.141	0.0584	0.0584
Gx96609	-0.02	0.941	0.941
Gx50552	0.097	0.148	0.148
Gx93167	-0.034	0.724	0.724
Gx32304	-0.051	0.353	0.353
Gx80646	0.018	0.798	0.798
Gx70501	0.004	0.94	0.94
Gx32679	0.117	0.599	0.599
Gx27297	-0.09	0.193	0.193
Gx65894	0.057	0.265	0.265
Gx11630	-0.054	0.299	0.299
Gx70742	0.242	0.00518	0.00518
Gx84933	0.047	0.354	0.354
Gx77550	-0.049	0.336	0.336
Gx85408	0.007	0.918	0.918
Gx67366	-0.074	0.354	0.354
Gx14967	-0.055	0.428	0.428
Gx47684	-0.028	0.621	0.621
Gx55174	0.065	0.751	0.751
Gx38512	0.038	0.543	0.543
Gx52424	-0.048	0.346	0.346
Gx84017	0.042	0.454	0.454
Gx37893	0.14	0.222	0.222
Gx29657	0.002	0.965	0.965
Gx47736	0.412	0.321	0.321
Gx11452	-0.393	0.0162	0.0162
Gx58063	0.011	0.854	0.854
Gx64199	-0.108	0.252	0.252
Gx18158	0.189	0.119	0.119
Gx98290	0.142	0.0371	0.0371
Gx58573	0.177	0.601	0.601
Gx52672	0.145	0.222	0.222
Gx33780	-0.271	0.271	0.271
Gx81612	-0.196	0.467	0.467
Gx49888	0.006	0.91	0.91
Gx77409	-0.05	0.404	0.404
Gx79500	0.949	0.0808	0.0808
Gx36870	-0.336	0.0129	0.0129
Gx72557	-1.503	0.0169	0.0169
Gx75276	-0.122	0.442	0.442
Gx58012	-0.04	0.475	0.475
Gx32722	0.11	0.068	0.068
Gx32453	-0.037	0.511	0.511
Gx84913	-0.01	0.895	0.895
Gx34081	0.017	0.773	0.773
Gx78803	0.086	0.261	0.261
Gx19023	-0.042	0.76	0.76
Gx15642	0.129	0.134	0.134
Gx65017	0.029	0.714	0.714
Gx63987	0.036	0.454	0.454
Gx11374	0.61	0.0231	0.0231
Gx97155	-0.056	0.279	0.279
Gx71263	-0.107	0.0967	0.0967
Gx94461	0.026	0.694	0.694
Gx13447	-0.046	0.467	0.467
Gx19847	0.215	0.0179	0.0179
Gx27523	-0.036	0.601	0.601
Gx49999	-0.481	0.126	0.126
Gx39219	-0.004	0.961	0.961
Gx27978	0.022	0.642	0.642
Gx32058	0.208	0.00373	0.00373
Gx68203	0.086	0.168	0.168
Gx75947	-0.001	0.989	0.989
Gx43198	-0.045	0.411	0.411
Gx26605	-0.018	0.834	0.834
Gx58835	-0.166	0.0452	0.0452
Gx15598	-0.335	0.0642	0.0642
Gx63791	0.069	0.621	0.621
Gx59225	0.012	0.784	0.784
Gx36135	0.006	0.938	0.938
Gx42828	-0.283	0.0946	0.0946
Gx23853	-0.04	0.515	0.515
Gx79873	-0.113	0.148	0.148
Gx18198	0.109	0.544	0.544
Gx99852	-0.108	0.372	0.372
Gx62013	-0.153	0.015	0.015
Gx60530	0.14	0.27	0.27
Gx66029	-0.124	0.128	0.128
Gx24268	0.1	0.077	0.077
Gx20218	0	1	1
Gx56506	0.186	0.363	0.363
Gx85150	-0.049	0.697	0.697
Gx13015	0.422	0.0176	0.0176
Gx47607	0.272	0.0468	0.0468
Gx99069	0.043	0.391	0.391
Gx74301	0.056	0.507	0.507
Gx87294	0.068	0.315	0.315
Gx89601	-0.012	0.809	0.809
Gx82732	-0.113	0.564	0.564
Gx40498	-0.195	0.055	0.055
Gx66772	0.067	0.386	0.386
Gx29123	-0.068	0.37	0.37
Gx28692	0.004	0.985	0.985
Gx54207	-0.285	0.195	0.195
Gx10368	0.165	0.575	0.575
Gx78077	0.052	0.554	0.554
Gx55482	0.566	0.371	0.371
Gx69991	-0.011	0.94	0.94
Gx77994	-0.055	0.356	0.356
Gx44543	0.084	0.838	0.838
Gx36553	-0.048	0.504	0.504
Gx26701	0.037	0.729	0.729
Gx87278	-0.211	0.139	0.139
Gx26108	-0.047	0.47	0.47
Gx88422	0.159	0.0189	0.0189
Gx98979	-0.01	0.978	0.978
Gx76046	-0.097	0.101	0.101
Gx66142	-0.096	0.0951	0.0951
Gx60331	-0.107	0.318	0.318
Gx63804	-0.176	0.0335	0.0335
Gx14774	0.053	0.38	0.38
Gx17749	-0.1	0.547	0.547
Gx72161	0.006	0.909	0.909
Gx99393	0.072	0.166	0.166
Gx61735	-0.016	0.794	0.794
Gx96545	0.09	0.291	0.291
Gx77159	-0.202	0.0963	0.0963
Gx93006	0.058	0.282	0.282
Gx69621	-0.036	0.467	0.467
Gx74951	-0.036	0.707	0.707
Gx31716	0.092	0.289	0.289
Gx59703	0.038	0.534	0.534
Gx89776	-0.252	0.0604	0.0604
Gx99671	-0.071	0.211	0.211
Gx49622	-0.092	0.49	0.49
Gx80788	-0.374	0.00776	0.00776
Gx84318	-0.119	0.378	0.378
Gx79550	0.259	0.124	0.124
Gx22175	-0.002	0.977	0.977
Gx36571	0.049	0.42	0.42
Gx70508	0.419	0.092	0.092
Gx30496	0.18	0.0654	0.0654
Gx37151	-0.005	0.909	0.909
Gx78030	0.009	0.889	0.889
Gx52615	-0.137	0.0795	0.0795
Gx24157	0.02	0.803	0.803
Gx42259	0.091	0.116	0.116
Gx54662	-0.066	0.308	0.308
Gx22977	0.621	0.0016	0.0016
Gx47516	-0.12	0.077	0.077
Gx14330	0.036	0.725	0.725
Gx39687	0.302	0.0162	0.0162
Gx65509	-0.121	0.369	0.369
Gx16559	-0.272	0.55	0.55
Gx89794	-0.208	0.0765	0.0765
Gx49973	0.031	0.699	0.699
Gx87720	0.087	0.384	0.384
Gx76206	-0.035	0.641	0.641
Gx36224	0.027	0.63	0.63
Gx55537	0.035	0.947	0.947
Gx18438	0.313	0.167	0.167
Gx49326	0.053	0.27	0.27
Gx46754	-0.004	0.939	0.939
Gx96597	0.007	0.884	0.884
Gx58734	-0.094	0.523	0.523
Gx64535	-0.013	0.828	0.828
Gx54548	-0.135	0.277	0.277
Gx13148	0.025	0.665	0.665
Gx86722	0.07	0.228	0.228
Gx33734	0.025	0.603	0.603
Gx59018	0.122	0.463	0.463
Gx99479	-0.049	0.533	0.533
Gx56119	-0.024	0.909	0.909
Gx99960	0.061	0.371	0.371
Gx20004	-0.135	0.278	0.278
Gx78034	-0.048	0.757	0.757
Gx13793	0.127	0.29	0.29
Gx59598	-0.108	0.0855	0.0855
Gx56373	0.096	0.226	0.226
Gx13280	-0.327	0.134	0.134
Gx42716	0.054	0.512	0.512
Gx99104	0.419	0.275	0.275
Gx23158	0.059	0.409	0.409
Gx17212	-0.288	0.0574	0.0574
Gx66708	-0.071	0.181	0.181
Gx62877	0.02	0.75	0.75
Gx30755	-0.026	0.593	0.593
Gx21262	0.721	0.126	0.126
Gx88006	-0.141	0.354	0.354
Gx17796	-0.197	0.129	0.129
Gx37730	0.121	0.57	0.57
Gx45231	0.295	0.0301	0.0301
Gx55364	0.339	0.0107	0.0107
Gx90623	0.041	0.396	0.396
Gx68316	0.072	0.534	0.534
Gx64587	-0.048	0.668	0.668
Gx92536	0.073	0.164	0.164
Gx62305	-0.037	0.701	0.701
Gx21002	0.527	0.167	0.167
Gx44263	0.07	0.238	0.238
Gx70130	0.052	0.481	0.481
Gx52563	0.111	0.0732	0.0732
Gx33071	0.085	0.774	0.774
Gx98562	0.253	0.27	0.27
Gx15448	0.063	0.268	0.268
Gx98182	0.435	0.0335	0.0335
Gx93451	-0.213	0.23	0.23
Gx41404	-0.158	0.21	0.21
Gx16886	0.082	0.273	0.273
Gx58652	-0.13	0.508	0.508
Gx13565	0.031	0.646	0.646
Gx64097	0.061	0.298	0.298
Gx47124	-0.066	0.413	0.413
Gx16532	-0.007	0.932	0.932
Gx36094	-0.014	0.823	0.823
Gx50061	-0.231	0.0226	0.0226
Gx68631	-0.093	0.105	0.105
Gx93328	0.05	0.322	0.322
Gx42907	0.033	0.527	0.527
Gx74307	-0.321	0.0411	0.0411
Gx22848	0.029	0.583	0.583
Gx79054	-0.036	0.475	0.475
Gx47245	0.461	0.118	0.118
Gx44779	0.089	0.285	0.285
Gx74493	-0.035	0.495	0.495
Gx93527	-0.024	0.65	0.65
Gx89165	0.009	0.869	0.869
Gx53550	0.049	0.412	0.412
Gx97785	-0.093	0.132	0.132
Gx33117	-0.071	0.218	0.218
Gx81243	-0.398	0.0939	0.0939
Gx84732	-0.035	0.473	0.473
Gx16675	0.141	0.209	0.209
Gx53161	-0.085	0.406	0.406
Gx10840	0.116	0.582	0.582
Gx53734	0.022	0.617	0.617
Gx62876	-0.134	0.312	0.312
Gx69390	-1.28	0.106	0.106
Gx35287	-0.006	0.903	0.903
Gx20898	-0.001	0.996	0.996
Gx39123	-0.045	0.413	0.413
Gx43623	0.077	0.291	0.291
Gx77719	-0.004	0.942	0.942
Gx48059	0.042	0.393	0.393
Gx50381	0.188	0.0957	0.0957
Gx25101	0.032	0.503	0.503
Gx16431	-0.013	0.817	0.817
Gx72037	-0.896	0.00872	0.00872
Gx29381	0.121	0.1	0.1
Gx92307	0.151	0.272	0.272
Gx14647	0.347	0.0626	0.0626
Gx12736	0.149	0.434	0.434
Gx51282	0.052	0.588	0.588
Gx12059	0.122	0.225	0.225
Gx70041	0.011	0.923	0.923
Gx89609	-0.182	0.257	0.257
Gx50825	-0.424	0.0629	0.0629
Gx43857	0.045	0.72	0.72
Gx52251	0.09	0.572	0.572
Gx92720	-0.038	0.726	0.726
Gx60552	-0.084	0.514	0.514
Gx14666	1.164	0.246	0.246
Gx88034	-0.15	0.553	0.553
Gx85268	0.018	0.807	0.807
Gx70855	-0.061	0.54	0.54
Gx86379	0.164	0.0451	0.0451
Auvon	0.589	7.48e-05	7.48e-05
Gx63457	0.18	0.0272	0.0272
Gx56509	-0.003	0.948	0.948
Gx60164	-0.031	0.641	0.641
Gx39275	0.054	0.608	0.608
Gx34688	-0.239	0.115	0.115
Gx71647	0.013	0.881	0.881
Gx35685	0.061	0.25	0.25
Gx90365	-0.077	0.718	0.718
Gx91878	0.02	0.681	0.681
Gx28429	-0.125	0.563	0.563
Gx32393	0.05	0.743	0.743
Gx80854	0.326	0.0867	0.0867
Gx50007	-0.118	0.792	0.792
Gx57423	0.135	0.345	0.345
Gx52127	0.078	0.822	0.822
Gx40298	-0.074	0.449	0.449
Gx24485	-0.005	0.933	0.933
Gx13872	0.499	0.146	0.146
Gx75937	-0.053	0.776	0.776
Gx59807	0.06	0.443	0.443
Gx57065	-0.023	0.658	0.658
Gx80982	-0.073	0.431	0.431
Gx19593	0.082	0.141	0.141
Gx90695	1.195	0.00933	0.00933
Gx74055	-0.034	0.647	0.647
Gx36781	-0.006	0.971	0.971
Gx27293	0.021	0.736	0.736
Gx17425	-0.55	0.0273	0.0273
Gx64542	-0.026	0.728	0.728
Gx25779	0.009	0.87	0.87
Gx23587	-0.206	0.262	0.262
Gx28068	-0.236	0.116	0.116
Gx67491	-0.386	0.0981	0.0981
